"ID_estacao";"ano_ini";"ano_fim";"tbs_max";"tbs_996";"tbuc_996";"tbs_99";"tbuc_99";"tbs_98";"tbuc_98";"tbs_min";"tbu_max";"tbu_996";"tbsc_996";"tbu_99";"tbsc_99";"tbu_98";"tbsc_98"
"S717";2018;2021;40,4;37,3;22,8;35,8;22,2;34,6;23,9;4,1;27,4;26,1;32,2;25,6;31,4;25,2;31,7
"S716";2018;2021;42,9;38,9;20,2;37,4;22,5;36,3;22,6;-1,6;27,7;26,1;31,9;25,6;31,2;25,2;30,2
"S715";2018;2021;42,5;38,9;21,4;37,5;21,8;36,4;21,8;0,3;26,8;25,6;32,3;25,2;32,5;24,9;32
"S714";2018;2021;38;34,6;22,7;33,5;29;32,4;28;0,5;32,3;28,5;33;27,7;32,6;26,4;30,6
"S713";2018;2021;41,7;37,7;23,3;37,7;23,3;37,4;22,6;5,3;27,9;25,6;33,3;25;31,9;24,5;32,3
"S712";2018;2021;41,2;37,7;24,3;36,5;24,2;35,3;24,5;-0,7;29,5;28,3;33,8;27,8;33,9;27,3;32,8
"S711";2018;2021;40,2;37,7;20,4;36,3;21,4;35,3;21,9;-0,1;33,2;25,8;31,8;25,2;31,2;24,7;30,1
"S710";2018;2021;42,7;38,4;21,5;37,2;22,4;35,9;22,5;0,3;31,2;26,5;33,9;25,8;32,4;25,3;31,4
"S709";2018;2021;41,4;38,3;22,4;36,9;22,8;35,8;22,8;-3,2;27,1;25,8;33,1;25,3;32,7;24,9;32
"S708";2018;2021;38,2;37,4;25,4;37,4;25,4;36,1;24,7;3,3;31,5;25,7;32,5;25,4;37,3;25,4;37,3
"S707";2018;2021;40,8;36,2;31,5;34,9;30,3;33,7;29,2;5,2;35,7;31,5;36,2;30,3;34,9;28,7;33,8
"S706";2018;2021;41,2;37,6;21,3;36,1;22,7;35;22,8;0,3;27,7;25,7;32,2;25,2;31,8;24,7;30,6
"S705";2018;2021;39,8;36,5;24,8;34,9;24,4;33,6;23;2,8;26,5;25,2;33,7;24,9;32,5;24,5;32,2
"S704";2018;2021;40,3;37,9;22,9;36,8;23,4;35,7;24;1,2;27,7;26,4;33,5;26;32,6;25,6;32,2
"S703";2018;2021;37,6;34,8;20,2;34;21,5;34;21,5;3,8;25,8;24;34,4;23,6;29,8;22,9;27,6
"S702";2018;2021;38,7;36;21,7;34,9;21,5;33,9;21,4;-0,1;31,5;24,8;30,8;24,4;30,5;23,8;29,8
"S701";2018;2021;41,6;38,5;22,3;37,4;22,6;36,4;22,9;1,8;27,3;25,9;33,1;25,5;32,4;25;31,8
"S122";2016;2018;36,3;36,3;22,5;35,4;23,1;35,4;23,1;0;25,7;24,7;30,4;24,4;30,3;24,1;29,7
"S121";2016;2018;36,8;36,8;25,1;36,8;25,1;36,8;25,1;0;26,6;25,4;33,5;25,3;35,1;25,3;35,1
"S120";2016;2018;38,8;36,3;23,8;35,7;23,4;35,2;23,8;0;27,8;26,3;32,8;26,1;32,9;25,8;31,6
"S117";2016;2018;36,4;34,7;26,9;34,2;27,4;33,7;27,1;17,8;28,7;28,1;33;27,9;32,8;27,7;32,5
"S116";2016;2018;36,1;35,8;26,3;35,8;26,3;35,8;26,3;19,5;27,7;26,6;33,6;26,5;33,4;26,5;33,4
"S114";2016;2018;30,5;29,1;23,2;28,8;22,3;28,7;23,4;0;24,8;23,9;27,4;23,6;27;23,4;28,5
"S113";2016;2018;36,9;35,9;24,1;35,3;24,6;34,7;24,3;0;27,1;25,6;31,4;25,4;32;25,1;31,6
"S110";2016;2018;38,3;36,5;22;35,9;22,4;35,2;23;0;27;26,1;31,7;25,8;30,7;25,7;30,8
"S108";2016;2018;34,2;34,2;26,2;34,2;26,2;34,2;26,2;22,2;27,4;26,2;34;26,2;34;26,2;34
"S107";2016;2018;35,4;33,9;20,5;33,3;21,2;32,7;21,1;17,6;24,1;23,3;28,6;23;28,9;22,7;28,3
"S104";2016;2018;34,9;33,2;22;32,1;23,2;31,3;23,3;6,5;26,3;25,3;29,3;25;29,3;24,7;28,3
"S103";2016;2018;36;35,3;24,4;35,3;24,4;34,9;24,4;20,8;26,8;25,8;31,6;25,6;31;25,4;30,8
"S102";2016;2018;37,9;37,9;30,7;36,1;26,8;36,1;26,8;23,9;30,7;30,7;37,9;26,9;33,2;26,8;35,7
"S101";2016;2018;38,2;38,2;21,7;38,2;21,7;38,2;21,7;12,9;26;24,7;35;24,7;35;24,7;35
"F501";2013;2021;35,3;31,9;18,9;30,7;18,3;29,7;18,9;5,7;24,4;22,1;27,8;21,6;27,6;21,1;26,6
"B806";2016;2021;44,7;31,2;21,2;30;21,4;28,9;20,6;-3,1;40,3;23,2;28,4;22,4;27,1;21,8;27,2
"B804";2016;2021;36,6;32,2;19,6;31,2;20,7;30,4;20,7;-4;24,9;23,5;29,3;22,9;28,5;22,5;27,8
"B803";2016;2021;40,3;35,4;21,7;33,9;22,6;32,5;22,8;-3,1;30,4;25,7;31,5;24,9;30,4;24,3;30,2
"A944";2019;2021;41,5;38,6;34,7;37;33,3;37;33,3;8,5;37,4;34,7;38,7;33,3;37;33,3;37
"A943";2019;2021;40,1;36,9;34,1;35,9;33,1;34,5;31,8;16,4;37,2;34,1;36,9;33,2;36;31,8;34,5
"A942";2019;2021;40,3;38,3;21,1;37,5;21,5;36,4;21,7;12,9;27,9;26,4;31,7;26;31,5;25,7;31,2
"A941";2012;2020;42,2;39,4;22,1;38,4;22,4;37,3;23;7,7;28,4;26,9;31,7;26,5;31,8;26,2;31,8
"A940";2010;2021;40,1;36,7;22,6;36;22,5;35,2;23,2;12,3;29,1;26,4;31,6;26,1;31,5;25,8;31,3
"A939";2010;2021;40,4;37,7;21,8;36,8;21,9;36;21,8;9,8;26,8;25,5;32,2;25,2;31,9;25;31,5
"A938";2010;2021;36,9;34,8;19,7;33,9;19,8;33,2;20;7,4;27,1;23,7;29,2;23,4;28,9;23,2;28,6
"A937";2010;2021;40,6;37,7;21,7;36,8;21,9;35,9;22,1;7,2;27,4;25,7;33,2;25,4;32,5;25,1;32,1
"A936";2010;2021;41,2;37,9;21,4;36,9;21,6;35,9;22;5,3;29,8;27,8;31,4;27,1;30,9;26,5;31,2
"A935";2010;2021;42,7;39,1;22,9;38,2;23,1;37;23,6;5,1;32,1;29,8;33,1;29,1;32,4;28,2;32,1
"A934";2010;2021;39,8;34,9;18;33,8;17,9;32,7;18,6;3,1;25,6;23,3;29,3;23;28,7;22,7;28,5
"A933";2010;2021;40,3;36,9;20,1;35,6;20,4;34,4;20,6;6,4;33,2;25,1;31,2;24,7;30,6;24,4;30,4
"A932";2010;2021;43,7;38,7;19,9;37,5;19,8;36,5;20,3;7,9;26,6;25,1;32;24,9;31,9;24,6;31,3
"A931";2010;2021;39,7;36,5;19,2;35,4;18,5;34,6;18,8;6,3;26,4;24;29,8;23,7;29,7;23,5;29,4
"A930";2010;2021;41,2;38,1;19,9;37,3;20,7;36,5;20,9;11,6;27,7;25,7;31,3;25,2;30,7;24,7;31,1
"A929";2010;2021;40,5;37,2;20,2;36,3;20,5;35,4;20,3;8,7;28,3;25,2;30,8;24,9;30,9;24,6;30,2
"A928";2010;2021;44,9;39,6;30,8;37,9;25,8;36,6;25,3;7,5;43,3;33,6;35,4;32,5;35,8;31;35,3
"A927";2010;2021;39,5;36,2;20,8;35,3;21;34,3;21;7,8;27,1;25,4;31;25,1;30,8;24,8;30,3
"A926";2010;2021;38,1;36;19,9;35,3;20,4;34,5;20,8;11;28,5;26,5;29,5;26;29;25,6;29
"A925";2010;2021;40,7;36,4;22,6;35,6;23,5;34,8;23,6;13,1;31,6;27,9;31,9;26,8;31;26,1;31,5
"A924";2010;2021;39,2;36,3;22,5;35,5;22,1;34,7;22,6;11,9;27,5;26,2;31,7;25,9;31,3;25,7;31,2
"A923";2017;2021;40,4;36,3;17,2;34,8;17,9;33,3;19,3;8,3;24;23,1;29,6;22,8;29,3;22,5;28,9
"A922";2010;2021;41,2;38,4;22,8;37,3;22,1;36,1;22,6;5,1;27,8;26,3;33,5;26;32,9;25,6;32,3
"A921";2010;2021;42,2;38,6;20,8;37,7;21,2;36,7;21,5;14;34,2;26,6;32,6;26,1;32,1;25,8;31,8
"A920";2010;2021;38,7;36;21,7;35,2;21,7;34,4;21,9;8,9;29,3;26,8;30,6;26,1;30,2;25,7;30,2
